event_name,venue_name,latitude,longitude,date,source,genre,price,url,venue_id,event_id
Mods Mayday,Round Chapel,51.552749,-0.04993,2022-05-02,Ticketmaster,Rock,TBC,https://www.ticketweb.uk/event/mods-mayday-round-chapel-tickets/11770435?REFERRAL_ID=tmfeed,KovZ9177px0,G5dFZ975dZstp
The Importance of Being Earnest,Roman Theatre Of Verulamium,51.7540857,-0.3582714,2026-07-03,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/St-Albans/Roman-Theatre-Of-Verulamium/The-Importance-of-Being-Earnest/42569150/,140331,42569150
Wireless 2026 - VIP Ticket,Finsbury Park,51.564635,-0.105881,2026-07-10,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/wireless-2026-vip-ticket-london-10-07-2026/event/3700638994BD4766,KovZ9177Xaf,16djZbzJfG7RfqJ
PITBULL - Official Premium Ticket and Hotel Experiences,Hyde Park,51.507432,-0.165708,2026-07-10,Ticketmaster,Pop,TBC,https://easol.link/46mx,KovZ9177gxV,16djZbVF7G7ncoa
2 Day (Sat + Sun) - Wireless 2026,Finsbury Park,51.564635,-0.105881,2026-07-11,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/2-day-sat-sun-wireless-2026-london-11-07-2026/event/37006381C1A2B319,KovZ9177Xaf,1AMZkCvGkdvIlG_
Dark of the Moon,Charing Cross Theatre,51.508087,-0.124122,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/dark-of-the-moon-london-12-07-2026/event/Z3r9uZKbZL4Ze3OLLZeq,KovZ9177MV7,Z3r9uZKbZL4Ze3OLLZeq
Come Alive! The Greatest Showman Circus Spectacular,Empress Museum,51.48850056,-0.19846932,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1GPNU-come-alive/#perf=1GPNU-18I&date=2026-07-12&time=2.30PM,KovZ9177EA0,16dfZbwGKG7HPH2
Wicked,Apollo Victoria Theatre,51.495785,-0.142691,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1DU1L-apollo-victoria-london-wicked/#perf=1DU1L-573&date=2026-07-12&time=2.30PM,KovZ9177tN0,1AUZkGyGkeTmtBG
Disney's The Lion King,Lyceum Theatre,51.511718,-0.120008,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/disneys-the-lion-king-london-12-07-2026/event/ZKr9uZKbZL4ZeCj6jZkF7,KovZ9177nD0,ZKr9uZKbZL4ZeCj6jZkF7
Electric Heart Surrey,Apps Court Farm,51.403308,-0.394981,2026-07-12,Ticketmaster,Rock,TBC,https://www.universe.com/events/electric-heart-surrey-tickets-95GWC7?ref=ticketmaster,KovZ91771Q0,LvZ18QjnZp-_J88vGUhhK
Matilda The Musical,Cambridge Theatre,51.51351,-0.126407,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1FY3Y-matilda-the-musical/#perf=1FY3Y-36L&date=2026-07-12&time=2.00PM,KovZ9177gdV,1AdjZbSGkDNHBtU
Faulty Towers the Dining Experience,President Hotel,51.52226825,-0.12395745,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1GLTR-faulty-towers-the-dining-experience-in-londons-west-end-2024/#perf=1GLTR-192&date=2026-07-12&time=1.30PM,KovZ9177057,17u8v0G65CrE3qM
Harry Potter and the Cursed Child - Parts 1 & 2 Sun 13:00 & 18:00,Palace Theatre,51.5131668,-0.1297073,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/17YYA-harry-potter-and-the-cursed-child/#perf=17YYA-796&date=2026-07-12&time=1.00PM,KovZ9177gU0,1AdjZbsGkiuEN6j
