event_name,venue_name,latitude,longitude,date,source,genre,price,url,venue_id,event_id
Mods Mayday,Round Chapel,51.552749,-0.04993,2022-05-02,Ticketmaster,Rock,TBC,https://www.ticketweb.uk/event/mods-mayday-round-chapel-tickets/11770435?REFERRAL_ID=tmfeed,KovZ9177px0,G5dFZ975dZstp
PITBULL - Official Premium Ticket and Hotel Experiences,Hyde Park,51.507432,-0.165708,2026-07-10,Ticketmaster,Pop,TBC,https://easol.link/46mx,KovZ9177gxV,16djZbVF7G7ncoa
Wireless 2026 - VIP Ticket,Finsbury Park,51.564635,-0.105881,2026-07-10,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/wireless-2026-vip-ticket-london-10-07-2026/event/3700638994BD4766,KovZ9177Xaf,16djZbzJfG7RfqJ
2 Day (Sat + Sun) - Wireless 2026,Finsbury Park,51.564635,-0.105881,2026-07-11,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/2-day-sat-sun-wireless-2026-london-11-07-2026/event/37006381C1A2B319,KovZ9177Xaf,1AMZkCvGkdvIlG_
Allegra,The Harold Pinter Theatre ,51.509326,-0.131851,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/allegra-london-12-07-2026/event/Zor9uZKbZL4Zef7CLZF,KovZ9177VOf,Zor9uZKbZL4Zef7CLZF
SIX The Musical,Vaudeville Theatre,51.510546,-0.12265,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/six-the-musical-london-12-07-2026/event/ZKr9uZKbZL4ZeCNuaZ6AK,KovZ9177MZf,ZKr9uZKbZL4ZeCNuaZ6AK
Hadestown,Lyric Theatre,51.511248,-0.133935,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/hadestown-london-12-07-2026/event/ZKr9uZKbZL4Ze8-4-Zdau,KovZ9177U3f,ZKr9uZKbZL4Ze8-4-Zdau
The Play That Goes Wrong,Duchess Theatre,51.512118,-0.119732,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/17YY4-the-play-that-goes-wrong/#perf=17YY4-78N&date=2026-07-12&time=3.00PM,KovZ9177VPf,1AdjZbIGkRDq0wv
Stranger Things: The First Shadow,Phoenix Theatre,51.514387,-0.129497,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1FHDY-stranger-things-the-first-shadow/#perf=1FHDY-20Q&date=2026-07-12&time=3.00PM,KovZ9177UqV,17uYv0G65IC549H
Hot Mess: A New Musical,The Other Palace,51.4987242,-0.1421127,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/hot-mess-a-new-musical-london-12-07-2026/event/Zor9uZKbZL4Zefe5NZ0,KovZ9177HfV,Zor9uZKbZL4Zefe5NZ0
