event_name,venue_name,latitude,longitude,date,source,genre,price,url,venue_id,event_id
Rumours of Fleetwood Mac,Southend Cliffs Pavilion,51.53582,0.697435,2026-07-22,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/rumours-of-fleetwood-mac-southendonsea-22-07-2026/event/1F006330CA3F7ADD,KovZpZAnanIA,G5vHZbSd12Mlq
TheWiseMen present Atjazz,TheBoatyardRestaurant / Driftwood,51.539881,0.650972,2026-07-25,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Southend-on-Sea/TheBoatyardRestaurant-%2F-Driftwood/TheWiseMen-present-Atjazz/42436075/,139472,42436075
Bay Days Festival 2026,Radio City Social,51.7356091,0.4667925,2026-08-01,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Chelmsford/Radio-City-Social/Bay-Days-Festival-2026/42352274/,135000,42352274
Life Of Agony,Chinnerys,51.533277,0.71916,2026-08-02,Ticketmaster,Metal,TBC,https://www.universe.com/events/life-of-agony-tickets-K36WPC?ref=ticketmaster,KovZpZAnnJnA,LvZ18Q9IUaayr9OZyQ-Ny
Wednesday 13,Chinnerys,51.533277,0.71916,2026-08-06,Ticketmaster,Metal,TBC,https://www.universe.com/events/wednesday-13-tickets-RYVNKM?ref=ticketmaster,KovZpZAnnJnA,LvZ18QjAKCStH38Z0KeeO
Smoke and Fire Festival Maldon 2026: The 10th Anniversary Edition,"Promenade Park, Maldon",51.723381,0.68936,2026-08-15,Ticketmaster,Undefined,TBC,https://www.universe.com/events/smoke-and-fire-festival-maldon-2026-the-10th-anniversary-edition-tickets-XZPKLR?ref=ticketmaster,KovZ9177JbV,LvZ18Qft4CuC6mZZ041C9
"Funky Dory Festival 7.0 | Soul, Disco, Soulful House & Party Classics",Ashfields Carriage & Polo Club,51.846046,0.302442,2026-08-15,Ticketmaster,Hip-Hop/Rap,TBC,https://www.universe.com/events/funky-dory-festival-7-0-soul-disco-soulful-house-party-classics-tickets-H7XMWL?ref=ticketmaster,KovZ9177g6V,LvZ18Q01dTtv3o-z3nS2G
Certified Madness in Stanford-le-Hope,The Welcome Club,51.5150505,0.4240957,2026-08-15,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Southend-on-Sea/The-Welcome-Club/Certified-Madness-in-Stanford-le-Hope/42081758/,58397,42081758
Henge,Chinnerys,51.533277,0.71916,2026-08-22,Ticketmaster,Rock,TBC,https://www.universe.com/events/henge-tickets-W6V7JN?ref=ticketmaster,KovZpZAnnJnA,LvZ18QLGNCJZbQZZ0bwbm
Porter Brotherhood At The Boatyard,The Boatyard Restaurant,51.5427426,0.6680014,2026-08-23,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Southend-on-Sea/The-Boatyard-Restaurant/Porter-Brotherhood-At-The-Boatyard/42460777/,31598,42460777
Sparks,Southend Cliffs Pavilion,51.53582,0.697435,2026-08-26,Ticketmaster,Rock,TBC,https://www.ticketmaster.co.uk/sparks-southendonsea-26-08-2026/event/1F006482E9848744,KovZpZAnanIA,G5vHZ_F5t-Fq7
JAR presents - Dear Boy And The Noise + Monumental + One Offs,The Essex Arms,51.6130194,0.2993072,2026-08-28,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Chelmsford/The-Essex-Arms/JAR-presents---Dear-Boy-And-The-Noise--Monumental--One-Offs/42304499/,132430,42304499
UB40 featuring Ali Campbell - Live in Southend,Garon Park,51.55325,0.736835,2026-08-30,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Southend-on-Sea/Garon-Park/UB40-featuring-Ali-Campbell---Live-in-Southend/42331180/,44340,42331180
Operation Mincemeat: A New Musical,Southend Cliffs Pavilion,51.53582,0.697435,2026-08-31,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/operation-mincemeat-a-new-musical-southendonsea-31-08-2026/event/1F0062C3AEAC1166,KovZpZAnanIA,G5vHZbiCmlvAJ
Daniel O'Reilly: Let's Have It,Chelmsford Theatre,51.735181,0.47039,2026-09-05,Ticketmaster,Comedy,TBC,https://www.ticketmaster.co.uk/daniel-oreilly-lets-have-it-chelmsford-05-09-2026/event/35006388897E2377,KovZ9177PWV,16gZkCFx9ZA2d7FF
Elvis Neil Diamond & Johnny Cash - Witham,Witham Town Football Club,51.7995786,0.6276316,2026-09-05,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Chelmsford/Witham-Town-Football-Club/Elvis-Neil-Diamond--Johnny-Cash---Witham/42422879/,33728,42422879
Jimmy Carr: Laughs Funny,Southend Cliffs Pavilion,51.53582,0.697435,2026-09-09,Ticketmaster,Comedy,TBC,https://www.ticketmaster.co.uk/jimmy-carr-laughs-funny-southendonsea-09-09-2026/event/1F006449EDB95855,KovZpZAnanIA,G5vHZ_7Ecm4-4
David Essex,Southend Cliffs Pavilion,51.53582,0.697435,2026-09-11,Ticketmaster,Rock,TBC,https://www.ticketmaster.co.uk/david-essex-southendonsea-11-09-2026/event/1F006350E9468E01,KovZpZAnanIA,G5vHZbgdtoIzv
Silent Disco - Maldon,Madison Heights,51.7216682,0.693215,2026-09-12,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Chelmsford/Madison-Heights/Silent-Disco---Maldon/42430795/,129776,42430795
Endless Love The Show - A Tribute to Diana Ross and Lionel Richie,Southend Cliffs Pavilion,51.53582,0.697435,2026-09-13,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/endless-love-the-show-a-tribute-southendonsea-13-09-2026/event/1F006337940F5E63,KovZpZAnanIA,G5vHZbSrfdgyN
Be Like Blippi,Southend Cliffs Pavilion,51.53582,0.697435,2026-09-20,Ticketmaster,Children's Theatre,TBC,https://www.ticketmaster.co.uk/be-like-blippi-southendonsea-20-09-2026/event/1F0064E1B676AA9F,KovZpZAnanIA,G5vHZ_CkUqnnL
Nurse Georgie Carroll: Infectious,Southend Cliffs Pavilion,51.53582,0.697435,2026-09-22,Ticketmaster,Comedy,TBC,https://www.ticketmaster.co.uk/nurse-georgie-carroll-infectious-southendonsea-22-09-2026/event/1F006472DC117662,KovZpZAnanIA,G5vHZ_65j79_x
The Prat Pack,Southend Cliffs Pavilion,51.53582,0.697435,2026-09-23,Ticketmaster,Comedy,TBC,https://www.ticketmaster.co.uk/the-prat-pack-southendonsea-23-09-2026/event/1F00647AB519674A,KovZpZAnanIA,G5vHZ_6ngkpq1
