event_name,venue_name,latitude,longitude,date,source,genre,price,url,venue_id,event_id
Row C Start,AO Arena,53.488164,-2.244066,2024-05-25,Ticketmaster,N/A,TBC,https://www.eticketing.co.uk/asmglobalmanchester,KovZ9177A4f,ZxqgVMyxjZBYPJzwisVEJswJSIcnzynMZ6k1
Still Life with Life Drawing Mossley,The Old Abbey Tap House,53.4621581,-2.2374393,2024-10-02,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Manchester/The-Old-Abbey-Tap-House/Still-Life-with-Life-Drawing-Mossley/40110427/,128366,40110427
The Spooky Men's Chorale,Stoller Hall ,53.487177,-2.243228,2026-07-13,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Manchester/Stoller-Hall-/The-Spooky-Mens-Chorale/42512574/,90149,42512574
Militarie Gun,Manchester Gorilla,53.473982,-2.243351,2026-07-13,Ticketmaster,Rock,TBC,https://www.ticketmaster.co.uk/militarie-gun-manchester-13-07-2026/event/1F006472A25E3CF2,KovZ9177aw7,G5vHZ_61x9NSw
"Jack & Jack | Birmingham, Mama Roux's",Lions Den,53.477374,-2.249832,2026-07-13,Ticketmaster,N/A,TBC,https://www.universe.com/events/jack-jack-birmingham-mama-rouxs-tickets-YV460W?ref=ticketmaster,KovZpZAnlIkA,LvZ18Q0V83QEyYqeACLq-
Sea Life Manchester - Standard Entry,SEA LIFE Manchester,53.46686792,-2.34235349,2026-07-13,Ticketmaster,Family,TBC,https://attractions.ticketmaster.co.uk/book/1H5K4-TICKETMASTER/#date=2026-07-13,KovZ9177Dp7,1AdjZ_6GkMKowLb
Bat Sabbath,Rebellion Manchester,53.4741834,-2.2504935,2026-07-14,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/bat-sabbath-manchester-14-07-2026/event/3600636585063CA0,KovZ9177nuV,1adbZbUpAvNZdu5v
Sunny Day Real Estate,Manchester New Century Hall,53.486725,-2.239563,2026-07-14,Ticketmaster,Rock,TBC,https://www.ticketmaster.co.uk/sunny-day-real-estate-manchester-14-07-2026/event/3700643E98EE2195,KovZ9177ge0,1AdjZ_dGkBbDxk4
Open Mic Night every Tuesday,The Trading Route,53.4785843,-2.2563368,2026-07-14,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Manchester/The-Trading-Route/Open-Mic-Night-every-Tuesday/42569991/,133956,42569991
Straight Arrows (AUS) // The Whalleys,Big Hands,53.462961,-2.230456,2026-07-14,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Manchester/Big-Hands/Straight-Arrows-AUS--The-Whalleys/42435198/,8771,42435198
Kilnhouse Records Presents Portobello Lane + Support,The Spinning Top,53.408213,-2.161355,2026-07-15,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Stockport/The-Spinning-Top/Kilnhouse-Records-Presents-Portobello-Lane--Support/42470136/,57322,42470136
Road To Victory - SEMI-FINAL,Castlefield Bowl,53.476524,-2.256881,2026-07-15,Ticketmaster,Soccer,TBC,https://www.ticketmaster.co.uk/road-to-victory-semifinal-manchester-15-07-2026/event/1F0064E1E9E3EB53,KovZpZAnJ1kA,G5vHZ_C6tzXcK
England Semi Finals,CO-OP LIVE VERTU PLACE,53.48661136,-2.1995797,2026-07-15,Ticketmaster,Soccer,TBC,https://www.universe.com/events/england-semi-finals-tickets-G0SVXJ?ref=ticketmaster,KovZ9177Dy0,LvZ18Q0zzHeV9j3Ck_xyS
England v Argentina Fanzone,Toughsheet Community Stadium,53.580173,-2.536279,2026-07-15,Ticketmaster,N/A,TBC,https://www.eticketing.co.uk/bwfc/EDP/Event/Index/4336,KovZ917709f,ZfqgVMyxjZBYPEHlIZA776
Breaking Benjamin,O2 Victoria Warehouse Manchester,53.4643707,-2.2853054,2026-07-16,Ticketmaster,Rock,TBC,https://www.ticketmaster.co.uk/breaking-benjamin-manchester-16-07-2026/event/3E006390B6163A85,KovZ9177A50,G5dzZbyeUANnA
Bushman,Band On The Wall.,53.485235,-2.234389,2026-07-16,Ticketmaster,Reggae,TBC,https://www.universe.com/events/bushman-tickets-PR4BM8?ref=ticketmaster,KovZpZAnJkkA,LvZ18QKnfAjp8DOZwyxxP
Shed Without A Roof,The Old Pint Pot,53.483638,-2.265616,2026-07-16,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Manchester/The-Old-Pint-Pot/Shed-Without-A-Roof/42487087/,65470,42487087
The Graft Live in Manchester!,Gullivers,53.483919,-2.233949,2026-07-16,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Manchester/Gullivers/The-Graft-Live-in-Manchester/42472677/,1284,42472677
Sietch,Night And Day Cafe,53.482742,-2.235254,2026-07-16,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Manchester/Night-And-Day-Cafe/Sietch/42534135/,34220,42534135
Lo-Key: Live Jazz in the Loft,Wallop Didsbury,53.425082,-2.235827,2026-07-16,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Manchester/Wallop-Didsbury/Lo-Key-Live-Jazz-in-the-Loft/42514359/,115739,42514359
Bushman,Band On The Wall,53.485227,-2.234386,2026-07-16,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Manchester/Band-On-The-Wall/Bushman/41665644/,536,41665644
The Sleeves,PINK Stockport,53.4078795,-2.159089,2026-07-17,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Stockport/PINK-Stockport/The-Sleeves/42329117/,138722,42329117
