event_name,venue_name,latitude,longitude,date,source,genre,price,url,venue_id,event_id
The Humdrum Express (Full Band Show),Rock N Roll Brewhouse Birmingham,52.4879337,-1.9089077,2026-02-12,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/Rock-N-Roll-Brewhouse-Birmingham/The-Humdrum-Express-Full-Band-Show/41747375/,133265,41747375
The Gladiators Experience,NEC,52.453266,-1.717158,2026-05-02,Ticketmaster,Family,TBC,https://www.ticketmaster.co.uk/the-gladiators-experience-birmingham-02-05-2026/event/1F00635B945E51D6,KovZ91771yf,G5vHZbgmf9P6p
Sea Life Birmingham - Standard Entry,National SEA LIFE Centre Birmingham,52.4790525,-1.91332064,2026-07-13,Ticketmaster,Family,TBC,https://attractions.ticketmaster.co.uk/book/1H4NW-TICKETMASTER/#date=2026-07-13,KovZ9177J2V,1AdfZ_6GkT0bQ6m
A THOUSAND HORSES  Plus guests,KK's Steel Mill,52.5786863,-2.1309853,2026-07-14,Ticketmaster,Rock,TBC,https://www.universe.com/events/a-thousand-horses-plus-guests-tickets-RL4FB5?ref=ticketmaster,KovZ9177jUf,LvZ18QhUZflvpj8ZV1ulD
D4YS B4 44: The Show,The Victoria,52.475999,-1.900695,2026-07-15,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/The-Victoria/D4YS-B4-44-The-Show/42486663/,11059,42486663
The Sugar Hill Gang,The Jam House,52.485231,-1.904536,2026-07-15,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/The-Jam-House/The-Sugar-Hill-Gang/42262348/,38008,42262348
December 10,University of Wolverhampton at The Wulfrun Hall,52.586653,-2.130802,2026-07-15,Ticketmaster,Pop,TBC,https://www.ticketmaster.co.uk/december-10-wolverhampton-15-07-2026/event/1F006471A1D62C9E,KovZpZAnaAAA,G5vHZ_6k-gxwr
Noah Stoneman Trio - Upstairs at Cherry Reds,Cherry Reds Birmingham City Centre,52.4765588,-1.9009001,2026-07-15,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/Cherry-Reds-Birmingham-City-Centre/Noah-Stoneman-Trio---Upstairs-at-Cherry-Reds/42542866/,57072,42542866
The SugarHill Gang Wed 15 July 2026 Performing Live Jam House Birmingham,The Jam House Birmingham,52.48509613,-1.904386,2026-07-15,Ticketmaster,Hip-Hop/Rap,TBC,https://www.universe.com/events/the-sugarhill-gang-wed-15-july-2026-performing-live-jam-house-birmingham-tickets-SKDJH9?ref=ticketmaster,KovZpZAnJI6A,LvZ18QhLfJlGN3ZZ0L_0H
The In Crowd Songwriters night,Crown Joules Codsall,52.6306974,-2.201296,2026-07-15,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Wolverhampton/Crown-Joules-Codsall/The-In-Crowd-Songwriters-night/42469356/,135873,42469356
WORLD CUP 2026: ENGLAND VS TBC - SEMI FINAL,O2 Institute Birmingham,52.475756,-1.887562,2026-07-15,Ticketmaster,Soccer,TBC,https://www.ticketmaster.co.uk/world-cup-2026-england-vs-tbc-birmingham-15-07-2026/event/3E0064E7BDAD342D,KovZ91771HV,G5dzZ_CrWlK8c
ACUA,"The Victoria, Birmingham",52.476568,-1.900914,2026-07-16,Ticketmaster,R&B,TBC,https://www.universe.com/events/acua-tickets-32YJHQ?ref=ticketmaster,KovZ91771VV,LvZ18Q-ngagTNgYZ04ruB
JQ JAZZ HOUSE: NEW ORLEANS BRASS BAND Thu 16 July 2026 Live Jazz Music,The Jam House Birmingham,52.48509613,-1.904386,2026-07-16,Ticketmaster,Jazz,TBC,https://www.universe.com/events/jq-jazz-house-new-orleans-brass-band-thu-16-july-2026-live-jazz-music-tickets-Z6DW5M?ref=ticketmaster,KovZpZAnJI6A,LvZ18Q-h5kfIG6ZvOHSqm
Ricky Cool & In-Crowd World Cup Escape Party @ The Blue Piano,The Blue Piano,52.4708267,-1.9222384,2026-07-16,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/The-Blue-Piano/Ricky-Cool--In-Crowd-World-Cup-Escape-Party--The-Blue-Piano/42427141/,105699,42427141
DFIU Events Birmingham Presents: The C*ntressas Tour,The Village Inn,52.4723546,-1.8941671,2026-07-16,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/The-Village-Inn/DFIU-Events-Birmingham-Presents-The-Cntressas-Tour/42414179/,60457,42414179
ACUA - Psych Pop from Cologne,The Victoria Birmingham,52.4760813,-1.9007447,2026-07-16,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/The-Victoria-Birmingham/ACUA---Psych-Pop-from-Cologne/42472061/,121518,42472061
Lex Alex,The Sunflower Lounge,52.476205,-1.897554,2026-07-16,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/The-Sunflower-Lounge/Lex-Alex/42486605/,2058,42486605
Santù,Hare And Hounds Kings Heath,52.434622,-1.89298,2026-07-16,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/Hare-And-Hounds-Kings-Heath/Sant/42436596/,38952,42436596
Gladiators Experience,NEC,52.453266,-1.717158,2026-07-17,Ticketmaster,Family,TBC,https://www.universe.com/events/gladiators-experience-tickets-NX6RCG?ref=ticketmaster,KovZ91771yf,LvZ18Qo9WPCnjSZZvTsbd
UP4 THE DOWNSTROKE Fri 17 Jul 2026 The Jam House Birmingham,The Jam House Birmingham,52.48509613,-1.904386,2026-07-17,Ticketmaster,Pop,TBC,https://www.universe.com/events/up4-the-downstroke-fri-17-jul-2026-the-jam-house-birmingham-tickets-GS6519?ref=ticketmaster,KovZpZAnJI6A,LvZ18Q-pKTr3pcOvOOBM9
The Streets,O2 Academy Birmingham,52.473277,-1.900215,2026-07-17,Ticketmaster,Hip-Hop/Rap,TBC,https://www.ticketmaster.co.uk/the-streets-birmingham-17-07-2026/event/3E00636D2390CE81,KovZpZAnak7A,G5dzZbUVN0GBv
Bat Sabbath,The Castle & Falcon,52.454883,-1.886583,2026-07-17,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/bat-sabbath-birmingham-17-07-2026/event/1F00636588093B01,KovZpZAta6EA,G5vHZbUpFeKiv
Just the Tonic Comedy - Birmingham - Ross Noble Special,Rosies,52.477306,-1.911101,2026-07-17,Ticketmaster,Comedy,TBC,https://www.universe.com/events/just-the-tonic-comedy-birmingham-ross-noble-special-tickets-S5CJVF?ref=ticketmaster,KovZ9177fEf,LvZ18QjQuXCZd3YZ0n-58
Disco Classical,Tudor Grange Park Solihull,52.409267,-1.786656,2026-07-17,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Solihull/Tudor-Grange-Park-Solihull/Disco-Classical/41230046/,105374,41230046
Lenny Pearce,Town Hall Birmingham,52.479447,-1.903587,2026-07-17,Ticketmaster,Dance/Electronic,TBC,https://www.ticketmaster.co.uk/lenny-pearce-birmingham-17-07-2026/event/1F006453E3D06BF2,KovZpZAnFFAA,G5vHZ_A2NVkRw
Live Music & Happy Hour at The Dry Spy Every Friday & Saturday,The Dry Spy Knowle,52.388444,-1.7350295,2026-07-17,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Solihull/The-Dry-Spy-Knowle/Live-Music--Happy-Hour-at-The-Dry-Spy-Every-Friday--Saturday/42482005/,115863,42482005
NBHD Presents: NBHD Open Jam Summer Series (Ft: Zakariah.),The Night Owl,52.4751658,-1.8818523,2026-07-17,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/The-Night-Owl/NBHD-Presents-NBHD-Open-Jam-Summer-Series-Ft-Zakariah/42585154/,64096,42585154
The Kasters - Birmingham,Dead Wax,52.4746387,-1.8789963,2026-07-17,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/Dead-Wax/The-Kasters---Birmingham/42469957/,99974,42469957
Bat Sabbath,The Castle And Falcon,52.4599842,-1.884336,2026-07-17,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/Birmingham/The-Castle-And-Falcon/Bat-Sabbath/41493459/,80637,41493459
