event_name,venue_name,latitude,longitude,date,source,genre,price,url,venue_id,event_id
Mods Mayday,Round Chapel,51.552749,-0.04993,2022-05-02,Ticketmaster,Rock,TBC,https://www.ticketweb.uk/event/mods-mayday-round-chapel-tickets/11770435?REFERRAL_ID=tmfeed,KovZ9177px0,G5dFZ975dZstp
Dub empire prologue #7,Amersham Arms,51.475343,-0.030285,2026-07-05,Skiddle,N/A,TBC,https://www.skiddle.com/whats-on/London/Amersham-Arms/Dub-empire-prologue-7/42543135/,4531,42543135
Wireless 2026 - VIP Ticket,Finsbury Park,51.564635,-0.105881,2026-07-10,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/wireless-2026-vip-ticket-london-10-07-2026/event/3700638994BD4766,KovZ9177Xaf,16djZbzJfG7RfqJ
PITBULL - Official Premium Ticket and Hotel Experiences,Hyde Park,51.507432,-0.165708,2026-07-10,Ticketmaster,Pop,TBC,https://easol.link/46mx,KovZ9177gxV,16djZbVF7G7ncoa
2 Day (Sat + Sun) - Wireless 2026,Finsbury Park,51.564635,-0.105881,2026-07-11,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/2-day-sat-sun-wireless-2026-london-11-07-2026/event/37006381C1A2B319,KovZ9177Xaf,1AMZkCvGkdvIlG_
Mojo Brookzz: I Know You F*cking Lying,Leicester Square Theatre,51.511349,-0.130111,2026-07-12,Ticketmaster,Comedy,TBC,https://www.ticketmaster.co.uk/mojo-brookzz-i-know-you-fcking-london-12-07-2026/event/3700649594632262,KovZ9177BEf,15djZ_apfbwax
Disney's The Lion King,Lyceum Theatre,51.511718,-0.120008,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/disneys-the-lion-king-london-12-07-2026/event/ZKr9uZKbZL4ZeCj6jZkF7,KovZ9177nD0,ZKr9uZKbZL4ZeCj6jZkF7
Wicked,Apollo Victoria Theatre,51.495785,-0.142691,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1DU1L-apollo-victoria-london-wicked/#perf=1DU1L-573&date=2026-07-12&time=2.30PM,KovZ9177tN0,1AUZkGyGkeTmtBG
Come Alive! The Greatest Showman Circus Spectacular,Empress Museum,51.48850056,-0.19846932,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1GPNU-come-alive/#perf=1GPNU-18I&date=2026-07-12&time=2.30PM,KovZ9177EA0,16dfZbwGKG7HPH2
The Hunger Games On Stage,Troubadour Canary Wharf Theatre,51.5035337,-0.0134276,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1HUN0-the-hunger-games-on-stage/#perf=1HUN0-4W&date=2026-07-12&time=2.30PM,KovZ9177DzV,1AMZko0GkeXTk7p
Dark of the Moon,Charing Cross Theatre,51.508087,-0.124122,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/dark-of-the-moon-london-12-07-2026/event/Z3r9uZKbZL4Ze3OLLZeq,KovZ9177MV7,Z3r9uZKbZL4Ze3OLLZeq
Allegra,The Harold Pinter Theatre ,51.509326,-0.131851,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/allegra-london-12-07-2026/event/Zor9uZKbZL4Zef7CLZF,KovZ9177VOf,Zor9uZKbZL4Zef7CLZF
