event_name,venue_name,latitude,longitude,date,source,genre,price,url,venue_id,event_id
Mods Mayday,Round Chapel,51.552749,-0.04993,2022-05-02,Ticketmaster,Rock,TBC,https://www.ticketweb.uk/event/mods-mayday-round-chapel-tickets/11770435?REFERRAL_ID=tmfeed,KovZ9177px0,G5dFZ975dZstp
Wireless 2026 - VIP Ticket,Finsbury Park,51.564635,-0.105881,2026-07-10,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/wireless-2026-vip-ticket-london-10-07-2026/event/3700638994BD4766,KovZ9177Xaf,16djZbzJfG7RfqJ
Shut The Funk Up,THE GRANGE,51.3041621,-0.3822739,2026-07-10,Skiddle,N/A,TBC,https://www.skiddle.com/festivals/shut-the-funk-up/,138248,42252003
PITBULL - Official Premium Ticket and Hotel Experiences,Hyde Park,51.507432,-0.165708,2026-07-10,Ticketmaster,Pop,TBC,https://easol.link/46mx,KovZ9177gxV,16djZbVF7G7ncoa
Essex Summer Fest,Harrow Lodge Park,51.5557438,0.198226,2026-07-11,Skiddle,N/A,TBC,https://www.skiddle.com/festivals/summer-tribute-festival/,116408,41574772
2 Day (Sat + Sun) - Wireless 2026,Finsbury Park,51.564635,-0.105881,2026-07-11,Ticketmaster,Undefined,TBC,https://www.ticketmaster.co.uk/2-day-sat-sun-wireless-2026-london-11-07-2026/event/37006381C1A2B319,KovZ9177Xaf,1AMZkCvGkdvIlG_
I Am The Avalanche,New Cross Inn,51.475524,-0.03838,2026-07-12,Ticketmaster,Rock,TBC,https://www.universe.com/events/i-am-the-avalanche-tickets-FHT18W?ref=ticketmaster,KovZpZAt6AEA,LvZ18Qj2-IkYBuZZ0zXOd
Oliver!,Gielgud Theatre,51.512019,-0.13324,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1H4KN-oliver/#perf=1H4KN-156&date=2026-07-12&time=2.30PM,KovZ9177O-7,1ku8vNuNGA2JC-M
Disney's The Lion King,Lyceum Theatre,51.511718,-0.120008,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/disneys-the-lion-king-london-12-07-2026/event/ZKr9uZKbZL4ZeCj6jZkF7,KovZ9177nD0,ZKr9uZKbZL4ZeCj6jZkF7
Wicked,Apollo Victoria Theatre,51.495785,-0.142691,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1DU1L-apollo-victoria-london-wicked/#perf=1DU1L-573&date=2026-07-12&time=2.30PM,KovZ9177tN0,1AUZkGyGkeTmtBG
Come Alive! The Greatest Showman Circus Spectacular,Empress Museum,51.48850056,-0.19846932,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1GPNU-come-alive/#perf=1GPNU-18I&date=2026-07-12&time=2.30PM,KovZ9177EA0,16dfZbwGKG7HPH2
The Hunger Games On Stage,Troubadour Canary Wharf Theatre,51.5035337,-0.0134276,2026-07-12,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1HUN0-the-hunger-games-on-stage/#perf=1HUN0-4W&date=2026-07-12&time=2.30PM,KovZ9177DzV,1AMZko0GkeXTk7p
Dark of the Moon,Charing Cross Theatre,51.508087,-0.124122,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/dark-of-the-moon-london-12-07-2026/event/Z3r9uZKbZL4Ze3OLLZeq,KovZ9177MV7,Z3r9uZKbZL4Ze3OLLZeq
Allegra,The Harold Pinter Theatre ,51.509326,-0.131851,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/allegra-london-12-07-2026/event/Zor9uZKbZL4Zef7CLZF,KovZ9177VOf,Zor9uZKbZL4Zef7CLZF
SIX The Musical,Vaudeville Theatre,51.510546,-0.12265,2026-07-12,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/six-the-musical-london-12-07-2026/event/ZKr9uZKbZL4ZeCNuaZ6AK,KovZ9177MZf,ZKr9uZKbZL4ZeCNuaZ6AK
