id,eventname,startdate,enddate,venue.town,venue.region,cancelled,genre_count,genres,artist_count
42160682,OVER 30's CLUB - Summer Open Air Festival - Shrewsbury,2026-06-20T15:00:00+00:00,2026-06-20T21:00:00+00:00,Shrewsbury,Shropshire,0,3.0,"['Club Classics', '1990s', '2000s']",
42418759,Killin Music Festival,2026-06-20T11:00:00+00:00,2026-06-21T23:00:00+00:00,Killin,Central,0,4.0,"['Rock', 'Acoustic', 'Folk', 'Alternative']",3.0
42450017,State of it pt.4 Containment weekender warm up!,2026-06-20T15:00:00+00:00,2026-06-21T03:00:00+00:00,Northampton,Northamptonshire,0,5.0,"['Drum and Bass', 'Techno', 'Punk', 'Dub', 'Electro']",2.0
42260824,Road to Nashville Outdoor Festival | Brighton Seafront,2026-06-21T12:00:00+00:00,2026-06-21T22:30:00+00:00,Brighton,Brighton and Hove,0,1.0,['Country/Americana'],
41398404,On The Waterfront Presents Snow Patrol,2026-06-21T17:00:00+00:00,2026-06-21T23:00:00+00:00,Liverpool,Merseyside,0,2.0,"['Rock', 'Indie']",2.0
42158485,Nora En Pure - PURIFIED OPEN AIR [Final Tickets],2026-06-21T13:00:00+00:00,2026-06-21T21:00:00+00:00,London,London,0,2.0,"['House', 'Deep House']",2.0
42474302,Roots Market,2026-06-21T13:00:00+00:00,2026-06-21T22:00:00+00:00,Birmingham,Birmingham,0,2.0,"['Reggae', 'Dub']",
42428544,We Love it Outdoor Tribute Festival Newport- JUNE 2026,2026-06-21T12:00:00+00:00,2026-06-21T22:00:00+00:00,Newport,Gwent,0,,,
42468131,DAY PARTY LDN - Summer Outdoor Day Party Experience,2026-06-21T16:00:00+00:00,2026-06-21T22:00:00+00:00,Canning Town,London,0,,,
42153145,Girly Pop,2026-06-21T12:00:00+00:00,2026-06-21T16:30:00+00:00,Southampton,Hants,0,1.0,['Pop'],
42373781,Bristol Sounds,2026-06-23T11:00:00+00:00,2026-06-28T23:00:00+00:00,Bristol,Bristol,0,3.0,"['Pop', 'Hip Hop', 'Electronic']",11.0
42151288,3 Lions FREE Fanzone: England vs Ghana,2026-06-23T18:00:00+00:00,2026-06-24T00:00:00+00:00,Liverpool,Merseyside,1,1.0,['Retro and Throwbacks'],
42081450,Empire Of The Sun Ask That God Tour,2026-06-24T18:30:00+00:00,2026-06-24T22:30:00+00:00,London,London,0,3.0,"['Rock', 'Pop', 'Indie']",1.0
41668747,Forest Live - Cannock Chase Forest,2026-06-24T11:00:00+00:00,2026-06-28T23:00:00+00:00,,,0,5.0,"['House', 'R&B', 'Pop', 'Indie Pop', 'Pop Rock']",
41970857,Replika Festival 2026,2026-06-25T12:00:00+00:00,2026-06-28T23:00:00+00:00,Walton Upon Trent,Derbyshire,0,5.0,"['Rock', 'Pop', 'Indie', 'Covers Band/Tribute Act', 'Brit Pop']",50.0
41172066,Liverpool Soul Weekender 2026,2026-06-25T18:00:00+00:00,2026-06-29T00:00:00+00:00,Liverpool,Merseyside,0,3.0,"['Soul', 'Funk', 'Disco']",
41585836,Morvala Festival of Arts 2026,2026-06-25T13:00:00+00:00,2026-06-29T11:00:00+00:00,Torpoint,Devon,0,5.0,"['Rock', 'Folk', 'Alternative', 'Pop Rock', 'Progressive Rock']",50.0
